Trace
Swept SA
A.24.56,N9000B
526 AKT EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.388733333333
Start Frequency,3416999287.78614
Stop Frequency,3416999769.78614
Average Count,0
Average Type,LogPower(Video)
RBW,4.7
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,4.7
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3416999287.78614,-74.9661254882813
3416999288.26814,-74.8986511230469
3416999288.75014,-74.8429794311523
3416999289.23214,-74.7944867331755
3416999289.71414,-74.8214111328125
3416999290.19614,-74.8771362304688
3416999290.67814,-74.9603042602539
3416999291.16014,-75.0780639648438
3416999291.64214,-75.2428741455078
3416999292.12414,-75.4672088623047
3416999292.60614,-75.7856674194336
3416999293.08814,-76.2891006469727
3416999293.57014,-76.8724822998047
3416999294.05214,-77.4024658203125
3416999294.53414,-77.7457046508789
3416999295.01614,-77.7817230224609
3416999295.49814,-77.5402450561523
3416999295.98014,-77.1176300048828
3416999296.46214,-76.6064147949219
3416999296.94414,-76.0991287231445
3416999297.42614,-75.6452865600586
3416999297.90814,-75.0803070068359
3416999298.39014,-74.4820709228516
3416999298.87214,-73.9767990112305
3416999299.35414,-73.6610176823879
3416999299.83614,-73.7336044311523
3416999300.31814,-74.0585403442383
3416999300.80014,-74.5945510864258
3416999301.28214,-75.2809906005859
3416999301.76414,-76.0571899414063
3416999302.24614,-76.896598815918
3416999302.72814,-77.9383163452148
3416999303.21014,-79.1021041870117
3416999303.69214,-80.2645568847656
3416999304.17414,-81.3022918701172
3416999304.65614,-82.0821990966797
3416999305.13814,-82.5355072021484
3416999305.62014,-82.8415451049805
3416999306.10214,-83.206787109375
3416999306.58414,-83.8377304077148
3416999307.06614,-85.0036926269531
3416999307.54814,-87.0393600463867
3416999308.03014,-89.4374389648438
3416999308.51214,-91.5708694458008
3416999308.99414,-92.8125915527344
3416999309.47614,-92.5494995117188
3416999309.95814,-90.7146606445313
3416999310.44014,-87.9340744018555
3416999310.92214,-84.8772277832031
3416999311.40414,-82.2136001586914
3416999311.88614,-80.473258972168
3416999312.36814,-79.121452331543
3416999312.85014,-78.0631561279297
3416999313.33214,-77.3681488037109
3416999313.81414,-77.0895996014941
3416999314.29614,-77.3929214477539
3416999314.77814,-78.4734115600586
3416999315.26014,-80.0593872070313
3416999315.74214,-81.7739715576172
3416999316.22414,-83.2402496337891
3416999316.70614,-84.1479797363281
3416999317.18814,-84.7525100708008
3416999317.67014,-85.1495361328125
3416999318.15214,-85.353874206543
3416999318.63414,-85.3803405761719
3416999319.11614,-85.1763229370117
3416999319.59814,-84.3898010253906
3416999320.08014,-83.3262786865234
3416999320.56214,-81.8061097098448
3416999321.04414,-82.1015396118164
3416999321.52614,-82.8468170166016
3416999322.00814,-84.9763488769531
3416999322.49014,-87.8307876586914
3416999322.97214,-90.6210708618164
3416999323.45414,-92.5581436157227
3416999323.93614,-92.905143737793
3416999324.41814,-91.7542190551758
3416999324.90014,-89.6953887939453
3416999325.38214,-87.3022842407227
3416999325.86414,-85.1485443115234
3416999326.34614,-83.708251953125
3416999326.82814,-82.5615158081055
3416999327.31014,-81.5913238525391
3416999327.79214,-80.8286972045898
3416999328.27414,-80.3046569824219
3416999328.75614,-80.0752944946289
3416999329.23814,-80.0071327849747
3416999329.72014,-80.80517578125
3416999330.20214,-81.3845520019531
3416999330.68414,-81.8132400512695
3416999331.16614,-81.881233215332
3416999331.64814,-81.5905380249023
3416999332.13014,-81.1221084594727
3416999332.61214,-80.6599273681641
3416999333.09414,-80.3381655328968
3416999333.57614,-80.4861907958984
3416999334.05814,-80.9801254272461
3416999334.54014,-81.6968612670898
3416999335.02214,-82.450439453125
3416999335.50414,-83.0548934936523
3416999335.98614,-83.3568725585938
3416999336.46814,-83.5105133056641
